timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
41405522,41.405522,AUDIO_BUSY_SET,0x0040,0x0041,166,1703,1703,0,1,0,2,0,0,busy_context=2,False,
41405524,41.405524,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,166,1703,1703,0,1,0,0,0,0,,False,
41405527,41.405527,AUDIO_CAN_SEND_NOW,0x0040,0x0041,166,1703,1703,0,1,6,0,0,0,,False,
41405806,41.405806,AUDIO_PACKET_SENT,0x0040,0x0041,166,1703,1703,0,1,276,0,22,0,,False,
41405808,41.405808,AUDIO_BUSY_CLEAR,0x0040,0x0041,166,1703,1703,0,0,286,3,0,0,busy_context=3,False,
41405812,41.405812,AUDIO_L2CAP_SEND,0x0040,0x0041,166,1703,1703,0,0,0,0,161,0,sdu_size=161,False,
41424914,41.424914,AUDIO_SDU_GENERATED,0xffff,0x0000,167,1704,1703,1,0,20002,0,0,0,,False,
41425469,41.425469,AUDIO_BUSY_SET,0x0040,0x0041,167,1704,1704,0,1,0,2,0,0,busy_context=2,False,
41425471,41.425471,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,167,1704,1704,0,1,0,0,0,0,,False,
41425474,41.425474,AUDIO_CAN_SEND_NOW,0x0040,0x0041,167,1704,1704,0,1,5,0,0,0,,False,
